product_name,keyword,product_cost,shipping_cost,estimated_sale_price,supplier_url,category
Portable Blender,portable blender,12.00,5.00,39.99,https://www.dhgate.com/wholesale/search.do?searchkey=portable+blender,kitchen
Electric Lunch Box,electric lunch box,14.00,6.00,44.99,https://www.dhgate.com/wholesale/search.do?searchkey=electric+lunch+box,kitchen
Oil Spray Bottle,oil spray bottle cooking,3.50,2.00,16.99,https://www.dhgate.com/wholesale/search.do?searchkey=oil+spray+bottle+cooking,kitchen
Vegetable Chopper,vegetable chopper,8.00,4.00,29.99,https://www.dhgate.com/wholesale/search.do?searchkey=vegetable+chopper,kitchen
Digital Kitchen Scale,digital kitchen scale,5.50,3.00,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=digital+kitchen+scale,kitchen
Silicone Food Storage Bags,reusable silicone food bags,4.50,2.50,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=reusable+silicone+food+bags,kitchen
Milk Frother,handheld milk frother,3.80,2.20,17.99,https://www.dhgate.com/wholesale/search.do?searchkey=handheld+milk+frother,kitchen
Bento Lunch Box,bento lunch box,6.50,3.50,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=bento+lunch+box,kitchen
Magnetic Spice Rack,magnetic spice rack,7.00,4.00,27.99,https://www.dhgate.com/wholesale/search.do?searchkey=magnetic+spice+rack,kitchen
Sink Drain Basket,sink drain basket,2.50,1.50,12.99,https://www.dhgate.com/wholesale/search.do?searchkey=sink+drain+basket,kitchen
LED Closet Light,motion sensor closet light,5.00,2.50,22.99,https://www.dhgate.com/wholesale/search.do?searchkey=motion+sensor+closet+light,home
Under Sink Organizer,under sink organizer,9.00,5.00,34.99,https://www.dhgate.com/wholesale/search.do?searchkey=under+sink+organizer,home
Cable Organizer Box,cable organizer box,5.50,3.00,23.99,https://www.dhgate.com/wholesale/search.do?searchkey=cable+organizer+box,home
Over Door Organizer,over door organizer,7.00,4.00,27.99,https://www.dhgate.com/wholesale/search.do?searchkey=over+door+organizer,home
Foaming Soap Dispenser,foaming soap dispenser,4.00,3.00,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=foaming+soap+dispenser,home
Rechargeable Table Fan,portable rechargeable fan,8.00,4.00,32.99,https://www.dhgate.com/wholesale/search.do?searchkey=portable+rechargeable+fan,home
Peel and Stick Wallpaper,peel and stick wallpaper,7.00,4.00,29.99,https://www.dhgate.com/wholesale/search.do?searchkey=peel+and+stick+wallpaper,home
Shower Phone Holder,shower phone holder,3.50,2.00,16.99,https://www.dhgate.com/wholesale/search.do?searchkey=shower+phone+holder,home
Vacuum Storage Bags,vacuum storage bags,6.00,3.50,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=vacuum+storage+bags,home
Drawer Organizer Dividers,drawer organizer dividers,4.50,2.50,18.99,https://www.dhgate.com/wholesale/search.do?searchkey=drawer+organizer+dividers,home
Resistance Band Set,resistance bands set,6.50,2.50,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=resistance+bands+set,fitness
Grip Strength Trainer,grip strengthener,4.50,2.00,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=grip+strengthener,fitness
Massage Ball Set,massage ball set,5.00,2.50,21.99,https://www.dhgate.com/wholesale/search.do?searchkey=massage+ball+set,fitness
Cooling Towel,cooling towel,3.50,2.00,16.99,https://www.dhgate.com/wholesale/search.do?searchkey=cooling+towel,fitness
Yoga Knee Pad,yoga knee pad,4.50,2.50,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=yoga+knee+pad,fitness
Weighted Jump Rope,weighted jump rope,7.50,3.50,29.99,https://www.dhgate.com/wholesale/search.do?searchkey=weighted+jump+rope,fitness
Ab Roller Wheel,ab roller wheel,6.50,3.50,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=ab+roller+wheel,fitness
Ankle Resistance Bands,ankle resistance bands,5.50,2.50,22.99,https://www.dhgate.com/wholesale/search.do?searchkey=ankle+resistance+bands,fitness
Workout Sliders,core sliders fitness,3.50,2.00,16.99,https://www.dhgate.com/wholesale/search.do?searchkey=core+sliders+fitness,fitness
Foam Roller,foam roller,8.00,5.00,32.99,https://www.dhgate.com/wholesale/search.do?searchkey=foam+roller,fitness
Pet Grooming Glove,pet grooming glove,3.50,2.00,16.99,https://www.dhgate.com/wholesale/search.do?searchkey=pet+grooming+glove,pets
Slow Feeder Dog Bowl,slow feeder dog bowl,4.50,3.00,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=slow+feeder+dog+bowl,pets
Portable Pet Water Bottle,portable dog water bottle,5.50,3.00,22.99,https://www.dhgate.com/wholesale/search.do?searchkey=portable+dog+water+bottle,pets
Pet Hair Remover Roller,pet hair remover roller,4.00,2.00,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=pet+hair+remover+roller,pets
Cat Water Fountain,cat water fountain,12.00,5.00,39.99,https://www.dhgate.com/wholesale/search.do?searchkey=cat+water+fountain,pets
Dog Car Seat Cover,dog car seat cover,10.00,5.00,36.99,https://www.dhgate.com/wholesale/search.do?searchkey=dog+car+seat+cover,pets
Cat Window Hammock,cat window hammock,8.00,4.00,29.99,https://www.dhgate.com/wholesale/search.do?searchkey=cat+window+hammock,pets
LED Dog Collar,led dog collar,4.50,2.50,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=led+dog+collar,pets
Pet Nail Grinder,pet nail grinder,8.00,4.00,29.99,https://www.dhgate.com/wholesale/search.do?searchkey=pet+nail+grinder,pets
Interactive Cat Toy,interactive cat toy,6.50,3.50,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=interactive+cat+toy,pets
Car Seat Gap Filler,car seat gap filler,6.00,3.00,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=car+seat+gap+filler,car
Car Trunk Organizer,car trunk organizer,9.00,5.00,34.99,https://www.dhgate.com/wholesale/search.do?searchkey=car+trunk+organizer,car
Car Phone Mount,magnetic car phone mount,4.50,2.50,18.99,https://www.dhgate.com/wholesale/search.do?searchkey=magnetic+car+phone+mount,car
Tire Pressure Gauge,digital tire pressure gauge,5.50,3.00,22.99,https://www.dhgate.com/wholesale/search.do?searchkey=digital+tire+pressure+gauge,car
Car Trash Can,car trash can,5.00,3.00,19.99,https://www.dhgate.com/wholesale/search.do?searchkey=car+trash+can,car
Screen Cleaning Kit,screen cleaning kit,3.00,2.00,14.99,https://www.dhgate.com/wholesale/search.do?searchkey=screen+cleaning+kit,tech
Magnetic Wireless Charger,magnetic wireless charger,9.00,4.00,34.99,https://www.dhgate.com/wholesale/search.do?searchkey=magnetic+wireless+charger,tech
USB C Hub,usb c hub,8.50,4.00,29.99,https://www.dhgate.com/wholesale/search.do?searchkey=usb+c+hub,tech
Phone Tripod Stand,phone tripod stand,7.00,3.50,26.99,https://www.dhgate.com/wholesale/search.do?searchkey=phone+tripod+stand,tech
Laptop Stand,foldable laptop stand,6.50,3.50,24.99,https://www.dhgate.com/wholesale/search.do?searchkey=foldable+laptop+stand,tech
